ID,Round_Numb,Year,Show,Date,Show_Round,Class_Short,Class Numb,Class_Round,Full_Group,Group_State,EA_Tot_Sc,EA_Tot_Rnk,MA_Tot_Sc,MA_Tot_Rnk,DA_Tot_Sc,DA_Tot_Rnk,Tot_GE_Sc,Tot_GE_Rnk,Subtot_Sc,Subtot_Rnk,Pen_Sc,Tot_Sc,Seed Score,Tot_Rnk,Ovr_Rnk,Attend,WC Round,Prv Class,Prv Attend,Prv WC Round,Prv Fin Score,Prv Fin Place,Fin Score,Fin Place,Finalist
625,3,2024,Mid East Power Regional,3/24/2024,Finals,IO,3,-,Revival Winter Guard (IN),IN,17.25,2,17.55,3,16.85,4,34.2,3,85.85,3,0,85.85,85.85,3,3,1,3,3,1,1,80.8,27,88.95,6,1
626,3,2024,Mid East Power Regional,3/24/2024,Finals,IO,3,-,Phoenix Independent (OH),OH,17.2,3,17.05,4,17.35,2,34,4,85.6,4,0,85.6,85.60,4,4,1,3,3,1,1,80.1,30,87.7,10,1
627,3,2024,Mid East Power Regional,3/24/2024,Finals,IO,3,-,Allegiance (IL),IL,16.5,5,16.6,6,16.5,5,33.7,5,83.3,5,0,83.3,83.30,5,5,1,2,3,1,3,89.7,7,84.8,21,0
628,3,2024,Mid East Power Regional,3/24/2024,Finals,IO,3,-,Top Hats (PA),PA,16.3,7,16.65,5,16.45,7,33.35,6,82.75,6,0,82.75,82.75,6,6,1,3,3,1,3,85.65,11,87.35,9,1
629,3,2024,Mid East Power Regional,3/24/2024,Finals,IO,3,-,Purdue University Winter Guard (IN),IN,16.5,5,16.15,8,16.5,5,32.4,7,81.55,7,0,81.55,81.55,7,7,1,1,1,1,3,94.27,3,81,30,0
630,3,2024,Mid East Power Regional,3/24/2024,Finals,IO,3,-,The Magnolia Project (KY),KY,15.65,8,16.2,7,15.55,8,31.75,8,79.15,8,0,79.15,79.15,8,8,1,2,1,1,3,95.095,2,83.8,24,0
631,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Avon HS (IN),IN,18.75,1,18.75,1,18.8,1,37.75,1,94.05,1,0,94.05,94.05,1,1,1,3,6,1,3,94.4,3,99.35,1,1
632,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Carmel HS (IN),IN,18.1,2,17.65,2,17.6,2,35.95,2,89.3,2,0,89.3,89.30,2,2,1,3,6,1,3,96.55,1,91.75,5,1
633,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Fishers HS (IN),IN,17.75,3,17.6,3,17.6,2,34.7,4,87.65,3,0,87.65,87.65,3,3,1,3,6,1,2,80,17,89.6,7,1
634,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Northview HS (IN),IN,17.25,5,16.7,7,17.1,4,34.75,3,85.8,4,0,85.8,85.80,4,4,1,3,6,1,3,89.5,7,86.4,10,1
635,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Bellbrook HS (OH),OH,17.3,4,16.85,5,17.05,5,34.55,5,85.75,5,0,85.75,85.75,5,5,1,3,6,1,2,81.5,16,85.6,11,1
636,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Kiski Area HS (PA),PA,16.8,8,17,4,17.05,5,33.65,6,84.5,6,0,84.5,84.50,6,6,1,3,6,1,3,84.05,11,87.7,8,1
637,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Miamisburg HS (OH),OH,17.25,5,16.75,6,16.6,7,33.2,7,83.8,7,0,83.8,83.80,7,7,1,3,6,1,3,90.05,6,86,12,1
638,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Norwin HS (PA),PA,16.85,7,16.55,8,16.45,8,32.75,8,82.6,8,0,82.6,82.60,8,8,1,2,6,1,2,77.4,21,81.9,16,0
639,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Center Grove HS (IN),IN,16.5,9,16.1,9,16.3,9,31.8,9,80.7,9,0,80.7,80.70,9,9,1,3,6,1,3,83.65,13,83,15,1
640,3,2024,Mid East Power Regional,3/24/2024,Finals,SW,6,-,Milford HS (OH),OH,15.6,10,15.55,10,15.5,10,30.95,10,77.6,10,0,77.6,77.60,10,10,1,1,4,1,3,94.75,3,78.5,23,0
641,3,2024,Mid East Power Regional,3/24/2024,Finals,IW,5,-,Juxtaposition (OH),OH,17.7,1,17.85,1,17.55,1,35.65,1,88.75,1,0,88.75,88.75,1,1,1,3,5,1,3,83.15,13,90.1,7,1
642,3,2024,Mid East Power Regional,3/24/2024,Finals,IW,5,-,Onyx (OH),OH,17.45,2,17.6,2,17.35,2,34.85,2,87.25,2,0,87.25,87.25,2,2,1,3,5,1,3,90.8,6,87.3,10,1
643,3,2024,Mid East Power Regional,3/24/2024,Finals,IW,5,-,Lexis (KY),KY,16.85,3,16.75,3,16.25,3,32.9,3,82.75,3,0,82.75,82.75,3,3,1,2,5,1,2,83.4,16,82.8,17,0
644,3,2024,Mid East Power Regional,3/24/2024,Finals,IW,5,-,Elevate (IN),IN,15.05,4,15.5,4,15.65,4,30.1,4,76.3,4,0,76.3,76.30,4,4,1,2,5,1,1,79.6,26,77.1,24,0
645,3,2024,Mid East Power Regional,3/24/2024,Finals,IW,5,-,The Pride of Missouri State (MO),MO,14.7,5,14.55,5,14.6,5,29.9,5,73.75,5,0,73.75,73.75,5,5,1,1,3,1,3,92.9,3,74.2,28,0
646,3,2024,Southeast Power Regional,3/24/2024,Finals,SA,2,-,Lexington HS (SC),SC,17.44,1,17.24,2,17.7,1,35.045,2,87.425,1,0,87.425,87.43,1,1,1,3,2,0,0,0,0,92.735,6,1
649,3,2024,Southeast Power Regional,3/24/2024,Finals,SA,2,-,Creekview HS (GA),GA,16.81,4,16.61,4,17.1,4,34.395,4,84.915,4,0,84.915,84.92,4,4,1,3,2,1,2,87.315,28,90.05,12,1
650,3,2024,Southeast Power Regional,3/24/2024,Finals,SA,2,-,Milton HS (GA),GA,16.805,5,16.58,5,16.7,6,33.735,6,83.82,5,0,83.82,83.82,5,5,1,2,2,1,1,84.3,59,88.105,23,0
651,3,2024,Southeast Power Regional,3/24/2024,Finals,SA,2,-,Horizon HS (FL),FL,16.735,6,16.345,6,16.45,9,33.835,5,83.365,6,0,83.365,83.37,6,6,1,2,2,0,0,0,0,86.595,32,0
652,3,2024,Southeast Power Regional,3/24/2024,Finals,SA,2,-,Thompson HS (AL),AL,16.56,7,16.275,7,16.75,5,32.895,9,82.48,7,0,82.48,82.48,7,7,1,2,2,1,1,81.33,73,84.22,54,0
654,3,2024,Southeast Power Regional,3/24/2024,Finals,SA,2,-,West Johnston HS (NC),NC,16.335,9,15.55,13,16.1,10,33.225,8,81.21,9,0,81.21,81.21,9,9,1,2,2,0,0,0,0,83.53,49,0
657,3,2024,Southeast Power Regional,3/24/2024,Finals,SA,2,-,Lassiter HS (GA),GA,16.04,12,15.97,10,15.85,12,32.815,10,80.675,12,0,80.675,80.68,12,12,1,2,2,0,0,0,0,84.64,52,0
661,3,2024,Southeast Power Regional,3/24/2024,Finals,IA,1,-,Georgia State University Winterguard (GA),GA,18.37,1,18.27,1,18.05,1,36.185,1,90.875,1,0,90.875,90.88,1,1,1,3,3,1,1,81.5,25,95.705,1,1
662,3,2024,Southeast Power Regional,3/24/2024,Finals,IA,1,-,Noir Independent (GA),GA,17.235,2,17.235,3,17.5,2,35.105,2,87.075,2,0,87.075,87.08,2,2,1,3,1,1,3,87.235,8,93.71,2,1
663,3,2024,Southeast Power Regional,3/24/2024,Finals,IA,1,-,Opus Independent (NC),NC,17.07,3,17.245,2,17.2,3,34.445,3,85.96,3,0,85.96,85.96,3,3,1,3,1,1,1,76.85,43,89.24,14,1
664,3,2024,Southeast Power Regional,3/24/2024,Finals,IA,1,-,Beau Monde Independent (TN),TN,16.305,4,16.765,4,16.65,4,33.415,4,83.135,4,0,83.135,83.14,4,4,1,2,1,0,0,0,0,86.54,19,0
665,3,2024,Southeast Power Regional,3/24/2024,Finals,IA,1,-,University of South Florida A (FL),FL,16.05,5,16.18,5,16.3,5,32.725,5,81.255,5,0,81.255,81.26,5,5,1,2,1,0,0,0,0,84.55,30,0
666,3,2024,Southeast Power Regional,3/24/2024,Finals,IA,1,-,Reverie A (GA),GA,15.745,6,15.835,7,15.9,6,31.885,6,79.365,6,0,79.365,79.37,6,6,1,2,1,0,0,0,0,82.65,23,0
667,3,2024,Southeast Power Regional,3/24/2024,Finals,IA,1,-,White & Gold Winterguard from Georgia Tech (GA),GA,15.615,7,15.85,6,15.8,7,31.475,7,78.74,7,0,78.74,78.74,7,7,1,1,1,0,0,0,0,80.22,37,0
668,3,2024,Southeast Power Regional,3/24/2024,Finals,SO,4,-,Oviedo HS (FL),FL,17.35,1,17.7,1,17.5,1,35.005,1,87.555,1,0.3,87.255,87.26,1,1,1,3,4,1,3,91.9,5,90,7,1
669,3,2024,Southeast Power Regional,3/24/2024,Finals,SO,4,-,Dobyns-Bennett HS (TN),TN,16.85,2,16.9,2,17.1,2,34.205,2,85.055,2,0,85.055,85.06,2,2,1,3,2,1,3,98.915,1,88.4,10,1
670,3,2024,Southeast Power Regional,3/24/2024,Finals,SO,4,-,Byrnes HS (SC),SC,16.5,3,16.8,3,16.85,3,33.075,3,83.225,3,0,83.225,83.23,3,3,1,2,4,1,1,79.7,31,84.5,19,0
671,3,2024,Southeast Power Regional,3/24/2024,Finals,SO,4,-,Seymour HS (TN),TN,15.55,5,15.6,5,16.6,4,32.75,4,80.5,4,0,80.5,80.50,4,4,1,2,4,1,2,82.1,19,80.5,31,0
672,3,2024,Southeast Power Regional,3/24/2024,Finals,SO,4,-,North Gwinnett HS (GA),GA,15.8,4,15.95,4,16.35,5,31.235,5,79.335,5,0,79.335,79.34,5,5,1,2,4,1,1,81.9,25,81,28,0
673,3,2024,Southeast Power Regional,3/24/2024,Finals,SO,4,-,Franklin HS (TN),TN,15.35,6,14.95,6,16.1,6,31.155,6,77.555,6,0,77.555,77.56,6,6,1,2,2,1,3,95.65,3,82.2,22,0
675,3,2024,Southeast Power Regional,3/24/2024,Finals,IO,3,-,Alta Marea (AL),AL,17.4,1,17.8,1,17.9,1,35.175,2,88.275,1,0,88.275,88.28,1,1,1,3,3,1,3,88.45,9,94.15,2,1
676,3,2024,Southeast Power Regional,3/24/2024,Finals,IO,3,-,Georgia (GA),GA,17.35,2,17.35,2,17.5,2,35.185,1,87.385,2,0,87.385,87.39,2,2,1,3,3,0,0,0,0,95.45,1,1
677,3,2024,Southeast Power Regional,3/24/2024,Finals,IO,3,-,Tampa Independent Open (FL),FL,16.85,3,17,3,16.95,3,34.2,3,85,3,0,85,85.00,3,3,1,3,3,0,0,0,0,86.1,13,1
678,3,2024,Southeast Power Regional,3/24/2024,Finals,IO,3,-,Edge Independent Open (GA),GA,16.55,4,16.7,4,16.35,4,33.285,4,82.885,4,0,82.885,82.89,4,4,1,2,3,1,3,92.1,5,84.8,16,0
679,3,2024,Southeast Power Regional,3/24/2024,Finals,SW,6,-,Cleveland HS (NC),NC,16.6,1,15.9,1,15.75,1,32.25,1,80.5,1,0,80.5,80.50,1,1,1,1,6,1,3,85.65,10,80.2,21,0
680,3,2024,Southeast Power Regional,3/24/2024,Finals,SW,6,-,Sunlake HS (FL),FL,15.9,2,15.8,2,15.55,2,31.305,2,78.555,2,0,78.555,78.56,2,2,1,2,6,0,0,0,0,81.1,18,0
681,3,2024,Southeast Power Regional,3/24/2024,Finals,IW,5,-,Paramount (GA),GA,18.55,1,18.65,1,18.8,1,37.725,1,93.725,1,0,93.725,93.73,1,1,1,3,5,1,3,97.45,1,93.4,4,1
682,3,2024,Southeast Power Regional,3/24/2024,Finals,IW,5,-,Etude (SC),SC,18.15,2,18.6,2,18.55,2,37.085,2,92.385,2,0,92.385,92.39,2,2,1,3,5,1,3,88.25,9,93.6,2,1
683,3,2024,Southeast Power Regional,3/24/2024,Finals,IW,5,-,Tampa Independent (FL),FL,17.15,3,17.5,3,17.3,3,34.995,3,86.945,3,0,86.945,86.95,3,3,1,3,5,1,3,83.15,13,85.5,13,1
684,3,2024,Southeast Power Regional,3/24/2024,Finals,IW,5,-,Edge Independent (GA),GA,16.9,4,16.95,4,16.85,4,34.075,4,84.775,4,0,84.775,84.78,4,4,1,2,5,1,2,77,24,82.3,19,0
685,3,2024,Southeast Power Regional,3/24/2024,Finals,IW,5,-,First Flight (NC),NC,16.1,5,16.45,5,15.75,5,32.2,5,80.5,5,0,80.5,80.50,5,5,1,1,5,1,2,77.4,23,76,25,0
686,3,2024,Southeast Power Regional,3/24/2024,Finals,IW,5,-,Eklipse (TN),TN,15.25,7,15.2,7,15.15,7,31.015,6,76.615,6,0,76.615,76.62,6,6,1,1,5,1,1,77.5,28,75.4,27,0
687,3,2024,Southeast Power Regional,3/24/2024,Finals,IW,5,-,University of South Florida (FL),FL,15.4,6,15.3,6,15.25,6,30.605,7,76.555,7,0,76.555,76.56,7,7,1,2,5,1,1,79.9,25,78.9,23,0
688,3,2024,Southeast Power Regional,3/24/2024,Finals,IW,5,-,Reverie (GA),GA,13.25,8,13.65,8,13.75,8,27.735,8,68.385,8,0,68.385,68.39,8,8,1,1,5,1,1,73.1,32,73.8,30,0
699,3,2024,Bakersfield Regional,3/23/2024,Finals,SA,2,-,Sierra Pacific HS (CA),CA,15.6,8,15.29,7,16,8,32.6,7,79.49,8,0,79.49,79.49,8,8,1,1,2,0,0,0,0,80.6,64,0
700,3,2024,Bakersfield Regional,3/23/2024,Finals,SA,2,-,Arroyo HS (CA),CA,15.68,7,15.14,8,15.8,9,32.3,8,78.92,9,0,78.92,78.92,9,9,1,1,2,0,0,0,0,74.54,104,0
702,3,2024,Bakersfield Regional,3/23/2024,Finals,SA,2,-,Costa Mesa HS (CA),CA,14.94,11,13.6,11,15.2,11,30.5,11,74.24,11,0,74.24,74.24,11,11,1,1,2,0,0,0,0,76.12,93,0
704,3,2024,Bakersfield Regional,3/23/2024,Finals,IA,1,-,Maharlika (CA),CA,16.74,2,16.22,2,16.9,2,34.2,2,84.06,2,0,84.06,84.06,2,2,1,3,3,1,1,73.6,38,87.37,13,1
706,3,2024,Bakersfield Regional,3/23/2024,Finals,SO,4,-,Clovis HS (CA),CA,16.2,1,16,1,17.1,1,33.8,1,83.1,1,0,83.1,83.10,1,1,1,2,4,0,0,0,0,84.8,26,0
707,3,2024,Bakersfield Regional,3/23/2024,Finals,SO,4,-,Downey HS (CA),CA,15.6,2,15.8,2,16.3,2,32.3,2,80,2,0,80,80.00,2,2,1,1,4,0,0,0,0,80.7,29,0
710,3,2024,Bakersfield Regional,3/23/2024,Finals,IO,3,-,i-Squared (CA),CA,16.8,1,17.1,2,17.5,1,34.7,1,86.1,1,0,86.1,86.10,1,1,1,3,3,1,3,81.75,15,86.4,15,1
711,3,2024,Bakersfield Regional,3/23/2024,Finals,IO,3,-,Emerald (CA),CA,16,2,17.2,1,17.1,2,34,2,84.3,2,0,84.3,84.30,2,2,1,3,3,1,3,84.35,12,87,11,1
712,3,2024,Bakersfield Regional,3/23/2024,Finals,IO,3,-,ZEUS Independent (CA),CA,15.8,3,16.1,3,17,3,32.5,3,81.4,3,0,81.4,81.40,3,3,1,1,3,1,1,80.5,29,83.3,27,0
713,3,2024,Bakersfield Regional,3/23/2024,Finals,IO,3,-,Elan Winterguard (CA),CA,15.4,4,16,4,16.2,4,32.2,4,79.8,4,0,79.8,79.80,4,4,1,1,3,1,2,85,16,81.7,28,0
714,3,2024,Bakersfield Regional,3/23/2024,Finals,SW,6,-,Arcadia HS (CA),CA,18.4,1,18.7,1,18.5,1,36.8,1,92.4,1,0,92.4,92.40,1,1,1,3,6,1,3,91.9,5,96.7,2,1
715,3,2024,Bakersfield Regional,3/23/2024,Finals,SW,6,-,Chino Hills HS (CA),CA,16.2,2,15.4,2,16.4,2,33.3,2,81.3,2,0.3,81,81.00,2,2,1,2,6,1,3,81.6,14,81.8,17,0
716,3,2024,Bakersfield Regional,3/23/2024,Finals,IW,5,-,Icon Winter Guard (CA),CA,17,1,17.3,1,17.4,1,34.7,1,86.4,1,0,86.4,86.40,1,1,1,3,5,1,2,79.2,21,84.6,14,1
717,3,2024,Bakersfield Regional,3/23/2024,Finals,IW,5,-,In Motion Performance Ensemble (CA),CA,15.9,2,16.4,2,16.2,2,32.6,2,81.1,2,0,81.1,81.10,2,2,1,2,5,1,2,79.4,20,80.3,21,0
736,3,2024,Colorado Springs Regional,3/23/2024,Finals,IA,1,-,Malachi A (CO),CO,15.74,1,15.61,1,16.6,1,32.2,1,80.15,1,0,80.15,80.15,1,1,1,2,1,0,0,0,0,83.53,34,0
741,3,2024,Colorado Springs Regional,3/23/2024,Finals,IO,3,-,Anesidora (CO),CO,16.9,1,16.2,1,16.3,1,33.1,1,82.5,1,0,82.5,82.50,1,1,1,2,3,1,2,81.2,21,84.7,20,0
742,3,2024,Colorado Springs Regional,3/23/2024,Finals,IW,5,-,Malachi (CO),CO,17,1,16.9,1,17.3,1,34.6,1,85.8,1,0,85.8,85.80,1,1,1,3,5,1,2,81.6,18,86.6,12,1
745,3,2024,Stuart Regional,3/23/2024,Finals,SA,2,-,Bartram Trail HS (FL),FL,16.67,3,16.87,2,16.2,3,33.6,2,83.34,2,0,83.34,83.34,2,2,1,3,2,1,3,90.2,10,93.455,5,1
746,3,2024,Stuart Regional,3/23/2024,Finals,SA,2,-,Cooper City HS (FL),FL,17.13,2,16.68,3,16.3,2,33.2,3,83.31,3,0,83.31,83.31,3,3,1,2,2,1,2,84.315,40,86.235,34,0
747,3,2024,Stuart Regional,3/23/2024,Finals,SA,2,-,"Freedom HS (Orlando, FL)",FL,16.33,5,16.2,4,15.8,4,31.6,6,79.93,4,0,79.93,79.93,4,4,1,2,2,0,0,0,0,87.96,24,0
752,3,2024,Stuart Regional,3/23/2024,Finals,SA,2,-,Palm Beach Central HS (FL),FL,15.46,8,14.95,8,14.6,9,29.4,9,74.41,9,0,74.41,74.41,9,9,1,1,2,0,0,0,0,76.16,91,0
758,3,2024,Stuart Regional,3/23/2024,Finals,IA,1,-,UCF Pegasus A (FL),FL,17.14,1,17.66,1,16.8,1,33.8,1,85.4,1,0,85.4,85.40,1,1,1,3,1,0,0,0,0,89.67,10,1
760,3,2024,Stuart Regional,3/23/2024,Finals,SO,4,-,William R. Boone HS (FL),FL,17.2,1,17.1,1,16.6,1,33.4,1,84.3,1,0,84.3,84.30,1,1,1,2,4,1,3,87.5,11,85.7,17,0
761,3,2024,Stuart Regional,3/23/2024,Finals,SO,4,-,Seminole HS (FL),FL,16.4,2,16.6,2,15.3,2,31.7,2,80,2,0,80,80.00,2,2,1,2,4,0,0,0,0,82,29,0
762,3,2024,Stuart Regional,3/23/2024,Finals,IO,3,-,UCF Pegasus Open (FL),FL,17,1,17.3,1,16.5,2,34.1,1,84.9,1,0,84.9,84.90,1,1,1,3,3,1,3,89.1,8,87.6,8,1
763,3,2024,Stuart Regional,3/23/2024,Finals,IO,3,-,FIU GOLD (FL),FL,16.8,2,16.6,2,16.6,1,33.3,2,83.3,2,0.3,83,83.00,2,2,1,2,3,1,2,81.3,20,85.2,18,0
764,3,2024,Stuart Regional,3/23/2024,Finals,IO,3,-,Relentless (FL),FL,16.3,3,16.4,3,16,3,32.5,3,81.2,3,0,81.2,81.20,3,3,1,1,5,1,2,78.7,22,83.5,25,0
765,3,2024,Stuart Regional,3/23/2024,Finals,SW,6,-,Tarpon Springs HS (FL),FL,18.1,1,18.2,1,17.8,2,35.8,1,89.9,1,0.1,89.8,89.80,1,1,1,3,6,1,3,96.25,2,93.4,4,1
766,3,2024,Stuart Regional,3/23/2024,Finals,SW,6,-,Warren Central HS (IN),IN,17.5,2,17.3,2,18,1,34.9,2,87.7,2,0,87.7,87.70,2,2,1,3,6,1,3,80.7,15,87.9,9,1
767,3,2024,Stuart Regional,3/23/2024,Finals,SW,6,-,Flanagan HS (FL),FL,16.8,4,16.7,4,17.3,3,33.5,3,84.3,3,0,84.3,84.30,3,3,1,3,6,1,2,78.2,19,85.3,13,1
768,3,2024,Stuart Regional,3/23/2024,Finals,SW,6,-,Stoneman Douglas HS (FL),FL,17.1,3,17.2,3,16.9,4,32.9,4,84.1,4,0,84.1,84.10,4,4,1,3,6,1,3,83.95,12,84.3,14,1
769,3,2024,Stuart Regional,3/23/2024,Finals,SW,6,-,West Broward HS (FL),FL,16.7,5,16.5,5,16.2,6,32.6,5,82,5,0,82,82.00,5,5,1,2,6,1,3,86.65,9,81.8,19,0
771,3,2024,Stuart Regional,3/23/2024,Finals,IW,5,-,UCF Pegasus (FL),FL,17.7,1,17.4,1,17.1,1,33.9,1,86.1,1,0,86.1,86.10,1,1,1,3,5,1,3,86.95,10,87.3,11,1
772,3,2024,Stuart Regional,3/23/2024,Finals,IW,5,-,FIU Winterguard (FL),FL,17,2,16.5,2,16.9,2,33.2,2,83.6,2,0,83.6,83.60,2,2,1,2,5,1,3,84.6,12,83,20,0
779,1,2024,Bakersfield Regional,3/23/2024,Prelims,SA,2,Round 1,Sierra Pacific HS (CA),CA,14.95,4,15.75,2,16.5,3,32.7,2,79.9,2,0,79.9,79.90,2,6,1,1,2,0,0,0,0,80.6,64,0
781,1,2024,Bakersfield Regional,3/23/2024,Prelims,SA,2,Round 1,Arroyo HS (CA),CA,15.49,2,14.74,4,16.1,4,31.6,5,77.93,4,0,77.93,77.93,4,9,1,1,2,0,0,0,0,74.54,104,0
